symbol_x,symbol_y,corr,pvalue,beta,half_life_bars,selected
ASTERUSDT,ETHUSDT,0.8345884046811812,0.029289469621934093,1.4813334245159866,20.98464530726824,False
AAVEUSDT,XPLUSDT,0.8135369153524121,0.02941292007536567,2.183795285220017,42.61618623978366,False
LTCUSDT,POLUSDT,0.8943473203139714,0.030149636985210244,1.276034118228428,26.419552919596583,False
FLOKIUSDT,XLMUSDT,0.9441844574652745,0.03076032978022298,0.9363430795388135,21.531702553662026,False
PUMPUSDT,SUIUSDT,0.9118868880534586,0.030813936275877744,0.9084239485754232,31.80274547216338,False
ARBUSDT,WLFIUSDT,0.8302576809227331,0.031196360273236787,0.8515982042668487,31.17609760436141,False
AAVEUSDT,ZECUSDT,0.8000949056255825,0.031729894738534395,1.3846900513904077,49.61485620923033,False
PEPEUSDT,POLUSDT,0.9416584601146677,0.031813073226516296,0.7104051756031488,13.204484755356344,False
ARBUSDT,SOLUSDT,0.8899115265780271,0.03185875380743809,0.952477868288665,32.85689863365729,False
ASTERUSDT,DOGEUSDT,0.7510172758943418,0.031892907548456875,1.4734088778309582,31.40916836074161,False
BNBUSDT,SUSDT,0.9441507696503079,0.03266663860345266,1.5759805682844705,18.443095265159567,False
DOGEUSDT,ONDOUSDT,0.8329513997826145,0.03326978084834333,0.7647576916545563,54.7903751141109,False
SOLUSDT,ZENUSDT,0.9313243568735802,0.034315671708419246,0.9370780936689562,28.26092283100872,False
AVAXUSDT,SUSDT,0.9218052916461101,0.03619881957082396,1.0393968165475793,25.61100884702301,False
BONKUSDT,LINKUSDT,0.9462495604958144,0.036660990610253304,0.7611568555190493,21.286998483054944,False
AVAXUSDT,LINEAUSDT,0.8528057594947019,0.03694581529143405,0.716759500596106,14.275570930325626,False
ASTERUSDT,XRPUSDT,0.8148275759302793,0.038336507350591756,1.003857784445504,20.62701327394805,False
XRPUSDT,ZENUSDT,0.8684290887789816,0.0390791101148504,1.3442004423535807,43.404236735331196,False
LTCUSDT,VIRTUALUSDT,0.8204871141673423,0.03954637273476856,2.119273708634467,47.61420640405849,False
ARBUSDT,VIRTUALUSDT,0.8981714619226383,0.039567213141464025,1.5776707109778823,29.4148373819539,False
DOTUSDT,PEPEUSDT,0.7651957421520562,0.039640933035070366,1.4776225558715557,34.32303336783136,False
FLOKIUSDT,SHIBUSDT,0.9487006680018261,0.0403413510108061,1.1644251680733746,17.27388243797868,False
EIGENUSDT,ENAUSDT,0.8999374948580294,0.04059445815347347,1.4330017192428386,15.682137631201394,False
HBARUSDT,WIFUSDT,0.8834456626497432,0.04079460930229932,3.4477149956910558,29.671607968926427,False
OPENUSDT,STOUSDT,0.7937183834713505,0.04089575645297829,1.5600246990948552,17.524675694263337,False
BNBUSDT,FLOKIUSDT,0.9342513084078389,0.041564769607289706,1.3137938666513305,20.00965203090935,False
